Gender,Month of Funded Date,Loan Amount
Male,3/1/05,"$37,975"
Male,4/1/06,"$7,075"
Male,5/1/06,"$12,975"
Male,6/1/06,"$11,100"
Male,7/1/06,"$29,650"
Male,8/1/06,"$22,400"
Male,9/1/06,"$13,625"
Male,10/1/06,"$29,900"
Male,11/1/06,"$243,600"
Male,12/1/06,"$301,200"
Male,1/1/07,"$238,475"
Male,2/1/07,"$181,225"
Male,3/1/07,"$288,850"
Male,4/1/07,"$537,875"
Male,5/1/07,"$348,400"
Male,6/1/07,"$441,400"
Male,7/1/07,"$364,050"
Male,8/1/07,"$349,325"
Male,9/1/07,"$529,825"
Male,10/1/07,"$404,525"
Male,11/1/07,"$570,575"
Male,12/1/07,"$591,225"
Male,1/1/08,"$589,775"
Male,2/1/08,"$545,450"
Male,3/1/08,"$561,525"
Male,4/1/08,"$575,300"
Male,5/1/08,"$634,225"
Male,6/1/08,"$538,100"
Male,7/1/08,"$576,725"
Male,8/1/08,"$780,875"
Male,9/1/08,"$705,825"
Male,10/1/08,"$793,725"
Male,11/1/08,"$518,025"
Male,12/1/08,"$1,012,725"
Male,1/1/09,"$839,000"
Male,2/1/09,"$977,550"
Male,3/1/09,"$1,159,475"
Male,4/1/09,"$1,227,475"
Male,5/1/09,"$1,263,400"
Male,6/1/09,"$1,176,275"
Male,7/1/09,"$1,159,775"
Male,8/1/09,"$1,286,625"
Male,9/1/09,"$1,058,025"
Male,10/1/09,"$1,539,150"
Male,11/1/09,"$1,310,875"
Male,12/1/09,"$2,129,875"
Male,1/1/10,"$1,531,325"
Male,2/1/10,"$1,351,475"
Male,3/1/10,"$1,536,750"
Male,4/1/10,"$1,492,400"
Male,5/1/10,"$1,411,725"
Male,6/1/10,"$1,500,575"
Male,7/1/10,"$1,709,125"
Male,8/1/10,"$1,567,750"
Male,9/1/10,"$1,568,425"
Male,10/1/10,"$1,841,675"
Male,11/1/10,"$1,883,875"
Male,12/1/10,"$2,618,000"
Male,1/1/11,"$1,998,050"
Male,2/1/11,"$2,040,575"
Male,3/1/11,"$1,806,400"
Male,4/1/11,"$1,909,425"
Male,5/1/11,"$2,129,900"
Male,6/1/11,"$2,063,525"
Male,7/1/11,"$2,267,725"
Male,8/1/11,"$2,503,225"
Male,9/1/11,"$2,478,250"
Male,10/1/11,"$2,104,350"
Male,11/1/11,"$2,408,800"
Male,12/1/11,"$3,310,350"
Male,1/1/12,"$3,642,350"
Male,2/1/12,"$2,532,900"
Male,3/1/12,"$2,775,350"
Male,4/1/12,"$2,201,000"
Male,5/1/12,"$2,403,625"
Male,6/1/12,"$2,426,425"
Male,7/1/12,"$2,163,025"
Male,8/1/12,"$2,529,250"
Male,9/1/12,"$2,485,075"
Male,10/1/12,"$2,529,325"
Male,11/1/12,"$2,456,275"
Male,12/1/12,"$3,369,975"
Female,3/1/05,"$64,875"
Female,4/1/06,"$17,800"
Female,5/1/06,"$19,000"
Female,6/1/06,"$22,200"
Female,7/1/06,"$40,625"
Female,8/1/06,"$45,650"
Female,9/1/06,"$49,750"
Female,10/1/06,"$76,150"
Female,11/1/06,"$373,625"
Female,12/1/06,"$572,875"
Female,1/1/07,"$381,300"
Female,2/1/07,"$319,350"
Female,3/1/07,"$762,450"
Female,4/1/07,"$1,009,075"
Female,5/1/07,"$792,225"
Female,6/1/07,"$962,650"
Female,7/1/07,"$871,275"
Female,8/1/07,"$792,825"
Female,9/1/07,"$1,090,225"
Female,10/1/07,"$1,160,300"
Female,11/1/07,"$1,327,650"
Female,12/1/07,"$2,051,850"
Female,1/1/08,"$2,222,250"
Female,2/1/08,"$1,942,000"
Female,3/1/08,"$2,136,875"
Female,4/1/08,"$2,235,900"
Female,5/1/08,"$2,343,900"
Female,6/1/08,"$2,195,075"
Female,7/1/08,"$2,089,875"
